Area,Repo,Branch/Ref,Path,Evidence,Status,Use In 8-Ball
Provider specs,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/providers/lightsail/linux-unix-public-ipv4-bundles.json,25 AWS Lightsail Linux/Unix public IPv4 bundle records; 11 general-purpose records plus memory and compute optimized families.,"Provider-published, validated 2026-07-17",Import into canonical provider instance templates.
Provider specs,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/providers/digitalocean/basic.json,DigitalOcean Basic droplet records; example sizes include 512 MiB through 16 GiB in fetched file.,"Provider-published, validated 2026-07-17",Import as DigitalOcean droplet family.
Provider specs,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/providers/digitalocean/cpu-optimized.json,One of five DigitalOcean droplet-size source files listed by providers index.,"Provider-published, validated 2026-07-17",Import as DigitalOcean droplet family.
Provider specs,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/providers/digitalocean/general-purpose.json,One of five DigitalOcean droplet-size source files listed by providers index.,"Provider-published, validated 2026-07-17",Import as DigitalOcean droplet family.
Provider specs,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/providers/digitalocean/memory-optimized.json,One of five DigitalOcean droplet-size source files listed by providers index.,"Provider-published, validated 2026-07-17",Import as DigitalOcean droplet family.
Provider specs,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/providers/digitalocean/storage-optimized.json,One of five DigitalOcean droplet-size source files listed by providers index.,"Provider-published, validated 2026-07-17",Import as DigitalOcean droplet family.
Provider indexes,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/indexes/provider-summary.json,"31 DigitalOcean records, 25 Lightsail records, 56 total provider records.",Validated index,Use for import validation counts.
Provider indexes,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P2-Provider-Datasets/indexes/providers.json,Lists provider source paths for DigitalOcean and Lightsail.,Validated index,Use to avoid hard-coded path guessing.
NoCloudGPT overhead,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P1-Estimator/data/NC/overhead-reserves.json,"Ubuntu, Docker, OpenWebUI, Ollama, DokuWiki, nginx, logs, install scratch, model download headroom, customer content, backups.",Internal planning data,Use to calculate usable capacity after appliance overhead.
NoCloudGPT CPU templates,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P1-Estimator/data/NC/cpu-only-templates.json,Six CPU-only templates from minimum lab through heavy CPU inference.,Internal planning data,Map provider sizes to CPU-only deployment classes.
NoCloudGPT GPU templates,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P1-Estimator/data/NC/gpu-templates.json,Four GPU planning templates from entry GPU through multi-GPU.,Internal planning data; hardware not officially verified,Keep separate from cloud CPU-only paths.
Workload profiles,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P4-Workload-Profiles/data/workloads.json,"Eight workloads: personal chat, documents RAG, coding assistant, small business, multi-user office, vision documents, agents automation, heavy AI research.",Validated P4 profiles,Use as workload demand layer.
Model metadata,funtech64/ycgpt-8.sh,main,data/catalog.json / data/catalog.jsonl / data/catalog.csv,"Generation report says 232 families, 7,259 variants, 7,242 local variants, 148 cloud variants.",Metadata catalog generated 2026-07-16,Use as old P3 source if current 8-ball catalog needs reconciliation.
Model family sample,funtech64/ycgpt-8.sh,main,data/families/qwen3.json,"Includes qwen3:0.6b with 523MB download size, 600M parameter count, 40K context, tools/thinking capabilities.",Official Ollama metadata snapshot,Use to verify model metadata import behavior.
Data gate,funtech64/ycgpt-lightsail,cursor/p1-p4-data-gate-bf53,P6-Validation-and-Testing/reports/p1-p4-data-gate.md,"P1 PASS, P2 PASS, P3 FAIL at that time, P4 PASS, P5_READY false.",Boundary warning,Do not claim measured model compatibility yet.
