provider,product_line,provider_plan_id,display_name,target_lane,plan_class,addressing,vcpu_count,system_ram_gb,included_ssd_gb,accelerator_present,gpu_model,gpu_vram_gb,source_url,source_retrieved_at,evidence_level,notes
aws,lightsail-linux-general-purpose,lightsail-linux-gp-nano-0.5gb-ipv4,Nano 0.5 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,2,0.5,20,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-micro-1gb-ipv4,Micro 1 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,2,1,40,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-small-2gb-ipv4,Small 2 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,2,2,60,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-medium-4gb-ipv4,Medium 4 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,2,4,80,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-large-8gb-ipv4,Large 8 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,2,8,160,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-xlarge-16gb-ipv4,Xlarge 16 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,4,16,320,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-2xlarge-32gb-ipv4,2Xlarge 32 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,8,32,640,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-4xlarge-64gb-ipv4,4Xlarge 64 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,16,64,1280,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-8xlarge-128gb-ipv4,8Xlarge 128 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,32,128,1280,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-12xlarge-192gb-ipv4,12Xlarge 192 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,48,192,1280,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
aws,lightsail-linux-general-purpose,lightsail-linux-gp-16xlarge-256gb-ipv4,16Xlarge 256 GB,cloud/aws-lightsail/cpu,general-purpose,public-ipv4,64,256,1280,false,,,https://docs.aws.amazon.com/lightsail/latest/userguide/amazon-lightsail-bundles.html,2026-08-11T00:00:00Z,provider_published,Linux/Unix bundle with public IPv4; base-pilot catalog row.
