id,target_lane,host_topology,runtime_detection_required,runtime_evidence_commands,cpu_architecture,visible_cpu_threads,system_ram_gib,ollama_filesystem_path,free_disk_gib,gpu_runtime_state,gpu_vendor,gpu_model,gpu_memory_gib,cuda_runtime_ready,virtualization_kind,provider,classification,model_fit_proven,runtime_trial_required,unknown_fields,notes
ubuntu-topology-bare-metal-cpu,ubuntu/cpu,bare-metal,true,systemd-detect-virt|systemd-detect-virt --vm|/etc/os-release|uname -m|nproc|lscpu -J|/proc/meminfo|df -P <ollama-data-path>,,,,,,,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|ollama_filesystem_path|provider|system_ram_gib|virtualization_kind|visible_cpu_threads,"Runtime-observed host topology category for ubuntu/cpu. Capacity values are supplied by the host at install time; this record does not prescribe RAM, CPU, disk, or GPU requirements."
ubuntu-topology-bare-metal-cuda,ubuntu/cuda,bare-metal,true,systemd-detect-virt|systemd-detect-virt --vm|/etc/os-release|uname -m|nproc|lscpu -J|/proc/meminfo|df -P <ollama-data-path>,,,,,,,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|ollama_filesystem_path|provider|system_ram_gib|virtualization_kind|visible_cpu_threads,"Runtime-observed host topology category for ubuntu/cuda. Capacity values are supplied by the host at install time; this record does not prescribe RAM, CPU, disk, or GPU requirements."
ubuntu-topology-virtual-machine-cpu,ubuntu/cpu,virtual-machine,true,systemd-detect-virt|systemd-detect-virt --vm|/etc/os-release|uname -m|nproc|lscpu -J|/proc/meminfo|df -P <ollama-data-path>,,,,,,,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|ollama_filesystem_path|provider|system_ram_gib|virtualization_kind|visible_cpu_threads,"Runtime-observed host topology category for ubuntu/cpu. Capacity values are supplied by the host at install time; this record does not prescribe RAM, CPU, disk, or GPU requirements. Virtualization kind may be kvm, qemu, vmware, or hypervisor strings; must not infer cloud provider — provider remains null."
ubuntu-topology-virtual-machine-cuda,ubuntu/cuda,virtual-machine,true,systemd-detect-virt|systemd-detect-virt --vm|/etc/os-release|uname -m|nproc|lscpu -J|/proc/meminfo|df -P <ollama-data-path>,,,,,,,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|ollama_filesystem_path|provider|system_ram_gib|virtualization_kind|visible_cpu_threads,"Runtime-observed host topology category for ubuntu/cuda. Capacity values are supplied by the host at install time; this record does not prescribe RAM, CPU, disk, or GPU requirements. Virtualization kind may be kvm, qemu, vmware, or hypervisor strings; must not infer cloud provider — provider remains null."
ubuntu-topology-unknown-cpu,ubuntu/cpu,unknown,true,systemd-detect-virt|systemd-detect-virt --vm|/etc/os-release|uname -m|nproc|lscpu -J|/proc/meminfo|df -P <ollama-data-path>,,,,,,,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|ollama_filesystem_path|provider|system_ram_gib|virtualization_kind|visible_cpu_threads,"Runtime-observed host topology category for ubuntu/cpu. Capacity values are supplied by the host at install time; this record does not prescribe RAM, CPU, disk, or GPU requirements."
ubuntu-topology-unknown-cuda,ubuntu/cuda,unknown,true,systemd-detect-virt|systemd-detect-virt --vm|/etc/os-release|uname -m|nproc|lscpu -J|/proc/meminfo|df -P <ollama-data-path>,,,,,,,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|ollama_filesystem_path|provider|system_ram_gib|virtualization_kind|visible_cpu_threads,"Runtime-observed host topology category for ubuntu/cuda. Capacity values are supplied by the host at install time; this record does not prescribe RAM, CPU, disk, or GPU requirements."
ubuntu-gpu-state-nvidia-cuda-ready,,,true,"nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits",,,,,,nvidia-cuda-ready,,,,True,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|host_topology|ollama_filesystem_path|provider|system_ram_gib|target_lane|virtualization_kind|visible_cpu_threads,Successful nvidia-smi query with per-device name and memory.total evidence. lspci alone is insufficient.
ubuntu-gpu-state-gpu-present-not-cuda-ready,,,true,"nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits|lspci -nn",,,,,,gpu-present-not-cuda-ready,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|host_topology|ollama_filesystem_path|provider|system_ram_gib|target_lane|virtualization_kind|visible_cpu_threads,"Display or compute adapter may be visible via lspci, but nvidia-smi did not succeed. Do not infer VRAM, ROCm, or CUDA readiness from PCI IDs."
ubuntu-gpu-state-no-supported-gpu-detected,,,true,"nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits",,,,,,no-supported-gpu-detected,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|host_topology|ollama_filesystem_path|provider|system_ram_gib|target_lane|virtualization_kind|visible_cpu_threads,Neither nvidia-smi nor lspci reported a supported GPU adapter at observation time.
ubuntu-gpu-state-gpu-state-unknown,,,true,"nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits|lspci -nn",,,,,,gpu-state-unknown,,,,,,,runtime-observed-host-category,false,true,cpu_architecture|cuda_runtime_ready|free_disk_gib|gpu_memory_gib|gpu_model|gpu_vendor|host_topology|ollama_filesystem_path|provider|system_ram_gib|target_lane|virtualization_kind|visible_cpu_threads,GPU probing incomplete or ambiguous; retain unknown and use CPU-safe fallback.
